Plate ID,Abbreviation,Name and Description
807,SNZ,South New Zealand
812,SOR,South Orkney
813,CBP,Campbell Plateau
814,BEL,Bellingshausen
815,SAN,Sandwich Plate
817,SGR,SouthGeorgia
818,CSS,Central Scotia Sea
819,MAG,Magallanes plate
820,BWB,Burdwood Bank
821,TON,Tonga Ridge
823,LAU,Lau Ridge
824,VIT,Vitiaz Trench
825,FIJ,Fiji
826,SLBD,"Northern part of South Loyalty Basin, becomes part of d'Entrecasteaux Basin"
827,NHB,New Hebrides
829,NWB,North Woodlark Basin
830,SBK,South Bismark Basin
833,LHR,Lord Howe Rise
834,NFR,Norfolk Ridge
835,TKR,Three Kings Ridge
836,LP,Louisiade Plateau
838,NSF,Northwest South Fiji Basin
839,ESF,East South Fiji
840,EPNG,E of PNG arc active from 62-50 Ma
841,SLBA,Arc associated with South Loyalty Basin opening 
842,MNF,Mid Norfolk Ridge
844,LYR,Loyalty Ridge
845,SLYB,South Loyalty Basin
847,MELA,"Melanesian Arc, North Bismark Basin"
849,SOL,South Solomon Basin
850,TAS,Tasmania
851,WSTR,Western South Tasman Rise
852,ESTR,Eastern South Tasman Rise
853,WSOL,West Solomon Sea continuation (isochrons)
854,SEPNG,SE of PNG arc active from 80-62 Ma
855,NLB,North Loyalty Basin South
856,SSF,South South Fiji Basin
857,NLBN,North Loyalty Basin North
858,REN,Rennell Island Ridge
859,WTP,West Torres Plateau
860,WRR,Western Rennell Ridge
861,ERR,East Rennell Ridge
864,NIU,Niuafoou
865,SLBA2,Arc associated with South Loyalty Basin opening 
866,CS,N Chesterfield Plateau
867,GSM,Gilbert Seamount Complex
868,CLP,Challenger Plateau
869,NLHR,Northern Lord Howe Rise
870,TOL,Lau Basin Tonga Side
872,SLBA3,Arc associated with South Loyalty Basin opening 
873,SLB1,W isochron in Late Cretaceous-Paleocene South Loyalty Basin
874,SLB2,W isochron in Late Cretaceous-Paleocene South Loyalty Basin
875,SLB3,W isochron in Late Cretaceous-Paleocene South Loyalty Basin
876,SLB4,W isochron in Late Cretaceous-Paleocene South Loyalty Basin
877,SLB5,W isochron in Late Cretaceous-Paleocene South Loyalty Basin
878,PP,Papuan Plateau
879,CHA,CBP Chatham Rise
880,EMO1,Emo Basin 1
881,EMO2,Emo Basin 2
883,NDR,N North Dampier Ridge
884,M1DR,N Middle 1 Dampier Ridge
885,M2DR,N Middle 2 Dampier Ridge
886,SDR,N South Dampier Ridge
887,ETP,East Tasman Plateau
888,EPP,Eastern Papuan Plateau
889,MR,Mellish Rise
890,KP,Kenn Plateau
895,ENT,ARG Eastern NeoTethys
899,CAT,Cato Trough
8151,RSN,Remnant arc for ancestral South Sandwich trench
8171,SHG,Shag Rocks
8181,TER,Terror Rise
8182,PIR,Pirie Bank
8184,DIS,Discovery Bank
8185,HER,Herdman Bank
8191,DAV,Davis Bank
8192,BAR,Barker bank (formerly Aurora)
8201,TCS,Trapped Weddell Sea/Central Scotia plate
8330,LHR,Lord Howe Rise (part of deforming region)
8331,NLHR,Northern Lord Howe Rise
8333,SNFR,S. Norfolk Ridge (part of deforming region)
8334,NNFR,N. Norfolk Ridge (part of deforming region)
8335,RER,Reinga Ridge (part of deforming region) 
8680,CLP,Challenger Plateau
8824,VITO,Older Vitiaz Trench
8853,WSOL2,"Western Solomon Basin, trapped crust"
83301,,Rigid block in Western LHR (part of deforming region)
85001,,STR Construction Line
86801,,Challenger Plateau COB conjugate to STR
86803,,"Challenger Plateau COB conjugate to ANT, Segment 2"
86805,,"ANT COB conjugate to Challenger Plateau, Segment 2"
900,Pacific and other oceans,
901,PAC,Pacific
902,FAR,Farallon
903,VAN,Vancouver 
904,ALU,Aluk Plate
907,JMNC,Jan Mayen Central Plate
908,EMAN,East Manihiki/Chasca
909,COC,Cocos Plate
911,NAZ,Nazca Plate
918,KUL,Kula Plate
919,PHX,Phoenix Plate
920,TPAC,Trapped Pacific plate on the Phoenix/Aluk plate
922,MELN1,Melanesia Basin North 1
923,JFD,Juan Fernandez Plate
924,NFAR,Northern Farallon/Cocos
926,IZA1,Izanagi Plate 1
932,KUL2,Kula/Farallon
938,KUL3,Kula Plate 3
939,KUL4,Kula Plate 4
941,ALT,Aleutian Basin
943,SLBA4,Arc associated with South Loyalty Basin opening 
945,SLB6,E isochron in Late Cretaceous-Paleocene South Loyalty Basin
949,SLB7,E isochron in Late Cretaceous-Paleocene South Loyalty Basin
950,WCPB,Western Campbell Plateau
951,SAMT1,South America Terrane 1
952,SAMT2,South America Terrane 2
953,SAMT3,South America Terrane 3
954,SAMT4,South America Terrane 4
955,SAMT5,South America Terrane 5
960,SLB8,E isochron in Late Cretaceous-Paleocene South Loyalty Basin
961,SLB9,E isochron in Late Cretaceous-Paleocene South Loyalty Basin
962,SLB10,E isochron in Late Cretaceous-Paleocene South Loyalty Basin
963,SLB11,E isochron in Late Cretaceous-Paleocene South Loyalty Basin
964,SLB12,E isochron in Late Cretaceous-Paleocene South Loyalty Basin
965,SLB13,E isochron in Late Cretaceous-Paleocene South Loyalty Basin
969,MAT,Mathematician paleoplate
970,RIV,Rivera Microplate
971,BAU,Bauer Microplate
972,BAUC,Bauer Microplate core
973,TCAR,Trapped Caribbean
977,JMN,Jan Mayen Plate
979,MAR,Makarov Basin
981,OJP,Ontong Java
982,MPP,Manihiki
983,HIK,M Hikurangi
984,SMC1,Southeast Manihiki/Catequil 1 
985,SMC2,Southeast Manihiki/Catequil 2 
986,SMC3,Southeast Manihiki/Catequil 3 
990,PPHX,Trapped Phoenix
991,,Manihiki isochrons SZ16
9005,RHEN,Rheic Plate North
9006,PTE,Paleotethys Plate East
9009,MOK1,Mongol-Okhotsk Plate 1
9010,MOK2,Mongol-Okhotsk Plate 2
9012,TKN,Turkestan Plate
9013,JNG,Junggar Plate
9014,PAP,Paleoasian Plate
9908,,Mods to Panama basin - RM 2017
9909,,Mods to Panama basin - RM 2017
9910,,Mods to Panama basin - RM 2017
9911,,Mods to Panama basin - RM 2017
9922,,Melanesia Basin synthetic extinct ridge
9923,MELS1,Melanesia Basin (Solomon Sea) south flank
99091,,Mods to Panama basin - RM 2017
99099,,Mods to Panama basin - RM 2017
902001,GBS,Gympie-Brook Street SZ
902002,SWG,Southwest Gondwana outboard SZ
902003,MAG,Magnitogorsk SZ
902009,SWA,Southwest Annamia SZ
902013,BEI,Beishan SZ
902014,GAC,Gamilaroi-Calliope (Panthalassa) SZ
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
